"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"SL1344_2747",-0.128925731688245,5.32736546054796,0.434005298265829,0.520085850179571,0.82186939898884,"SL1344_2747","SL1344_2747"
"sitA",-0.390783604509531,9.55365545082311,0.435400977706312,0.520245212235885,0.82186939898884,"SL1344_2841","sitA"
"yaeP",0.100667526228093,6.88921082469463,0.431472352794535,0.521288920245399,0.822075309197441,"SL1344_0239","yaeP"
"nagE",-0.134820227463521,5.89614621284467,0.431314258168118,0.521364179651397,0.822075309197441,"SL1344_0667","nagE"
"scsA",0.23014959882767,3.59651484405624,0.432471867970841,0.520813572249367,0.822075309197441,"SL1344_1052","scsA"
"SL1344_1715",-0.19021846607111,2.50737036672034,0.432014114278632,0.521031171264437,0.822075309197441,"SL1344_1715","SL1344_1715"
"eutT",-0.327014054642172,1.07803854997006,0.430611196309112,0.521699107359335,0.822075309197441,"SL1344_2430","eutT"
"yggG",0.101401372258364,6.26910424046334,0.429941121138532,0.522018689057611,0.822075309197441,"SL1344_3053","yggG"
"comE",0.0865378489236579,4.24552397194404,0.430003592554652,0.521988879091832,0.822075309197441,"SL1344_3455","comE"
"SraC",-0.1471730672634,4.08105738062991,0.430352610610172,0.521822393055804,0.822075309197441,"SraC","SraC"
"SL1344_1962",-0.121523824828164,4.02410181965083,0.428886176188336,0.522522558730048,0.822566228064819,"SL1344_1962","SL1344_1962"
"panF",-0.105302522896907,6.79031924481995,0.428345657840492,0.522781071638909,0.822566228064819,"SL1344_3355","panF"
"pilL",-0.194218813133606,3.05173567755803,0.428198769738153,0.52285136430297,0.822566228064819,"SL1344_P2_0095","pilL"
"SL1344_2155",-0.173184496612973,1.8702882601886,0.451968564172423,0.523176306425537,0.822804171161279,"SL1344_2155","SL1344_2155"
"SL1344_3361",0.0913025810826686,4.9074199674345,0.425943370919932,0.523932867202701,0.823720541632657,"SL1344_3361","SL1344_3361"
"yaaI",-0.190906816551348,2.57384742314984,0.422452693849153,0.52561487407272,0.823845991134229,"SL1344_0011","yaaI"
"ddlB",0.0805687241023586,7.84924259893152,0.423570774474986,0.525075033526088,0.823845991134229,"SL1344_0130","ddlB"
"tmk",0.187221192187728,6.52798040327501,0.424907352951269,0.524431040393667,0.823845991134229,"SL1344_1137","tmk"
"yeiH",-0.122312661298092,4.21044164911258,0.423872928376115,0.524929321218491,0.823845991134229,"SL1344_2179","yeiH"
"ygeA",0.0959696524699667,5.98359873579871,0.421679462820656,0.525988812981254,0.823845991134229,"SL1344_2993","ygeA"
"gntT",-0.163120599431406,4.25119293547375,0.424335094352082,0.524706588433492,0.823845991134229,"SL1344_3479","gntT"
"rsmD",0.188521843225718,5.69272100687827,0.42310459114282,0.525299995084682,0.823845991134229,"SL1344_3537","rsmD"
"cspA",-0.257699920387731,9.69912424476626,0.424013055656754,0.525669408532617,0.823845991134229,"SL1344_3615","cspA"
"SL1344_3990",0.223425047669323,4.84121155357741,0.422862245621152,0.525625541375007,0.823845991134229,"SL1344_3990","SL1344_3990"
"ytfJ",0.0874787448295701,3.98891557403212,0.42145043422555,0.526099667127094,0.823845991134229,"SL1344_4338","ytfJ"
"ytfN",0.112512218736483,8.69094224501622,0.422319423507749,0.525679289243959,0.823845991134229,"SL1344_4343","ytfN"
"SL1344_4374",-0.165749119955109,2.21617795393561,0.422026907776502,0.525820725690822,0.823845991134229,"SL1344_4374","SL1344_4374"
"rof",0.143632520493975,5.55828215885656,0.420523129003319,0.526548943240693,0.824277046969981,"SL1344_0238","rof"
"SL1344_1938",-0.153894308971823,5.65818897719603,0.419299742556644,0.527142759493212,0.824934011139526,"SL1344_1938","SL1344_1938"
"fepD",-0.28415895986171,4.88704465098976,0.419852064763468,0.527525671609263,0.825260603174729,"SL1344_0580","fepD"
"SL1344_0030",-0.433037163488116,0.363518850986481,0.416918676400086,0.528302071944513,0.825434761712287,"SL1344_0030","SL1344_0030"
"serS",0.0832345259430438,9.49505378637323,0.41737340005648,0.528080306477115,0.825434761712287,"SL1344_0901","serS"
"ydhI",0.168448094356851,3.7135033662126,0.41685322099713,0.528334008341071,0.825434761712287,"SL1344_1375","ydhI"
"glnG",0.165933737532731,5.63452906011976,0.417463357526766,0.528036455378925,0.825434761712287,"SL1344_3952","glnG"
"yihT",-0.17289743166514,2.23576558804035,0.416277967709895,0.528614835237028,0.825491790667178,"SL1344_3968","yihT"
"idnK",0.227950495544512,1.78234538105999,0.416064656413272,0.528719040085332,0.825491790667178,"SL1344_4415","idnK"
