"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"yehT",1.66216639693612,5.50814505282673,66.7047825712203,7.00694853981104e-07,1.77496872904197e-05,"SL1344_2136","yehT"
"SL1344_1896",-1.50560719764523,5.41697273328186,66.4391650241684,7.18142039263533e-07,1.80948874467625e-05,"SL1344_1896","SL1344_1896"
"orgC",2.10404105430605,7.74671407509879,66.1521326051102,7.37552318809978e-07,1.84856366889041e-05,"SL1344_2848","orgC"
"gdhA",1.23288492849649,6.55678785860064,66.0900670378341,7.41827299980308e-07,1.84949258947722e-05,"SL1344_1234","gdhA"
"osmY",1.42320949026686,6.12462719301822,65.9679263243981,7.50322526595957e-07,1.86087843376181e-05,"SL1344_4489","osmY"
"yheR",1.33024882137164,4.99798073418452,65.8433402068147,7.59101741896174e-07,1.87284632883447e-05,"SL1344_3425","yheR"
"SL1344_1768",1.56473290839916,7.44575907942636,65.579469160006,7.7808353702568e-07,1.90973145849256e-05,"SL1344_1768","SL1344_1768"
"SL1344_1567",2.08882442283364,4.47009460474389,65.4573019578384,7.8705371044065e-07,1.91964108506512e-05,"SL1344_1567","SL1344_1567"
"SL1344_2269",2.13750215206779,6.2233110692295,65.4144766381506,7.90225905821613e-07,1.91964108506512e-05,"SL1344_2269","SL1344_2269"
"SL1344_4016",1.66696703290343,6.99773215113277,65.2340836344448,8.03748351291217e-07,1.94252854085025e-05,"SL1344_4016","SL1344_4016"
"glgC",1.04298055159472,5.95113004207086,65.0985891346938,8.14077905893579e-07,1.95750611178573e-05,"SL1344_3503","glgC"
"era",-0.781984100250323,8.33133006298047,64.5354252174288,8.58656221730628e-07,2.05426996077676e-05,"SL1344_2542","era"
"acpD",1.94883014994708,6.47794012221244,64.3894769526342,8.70656610549514e-07,2.0725127458156e-05,"SL1344_1572","acpD"
"SL1344_2438",1.5634071635266,6.09275611247644,64.3128357220988,8.77034457937179e-07,2.07725611362421e-05,"SL1344_2438","SL1344_2438"
"rseB",1.9470634569712,7.5370516619039,64.2443805259053,8.82775936996044e-07,2.08045254405486e-05,"SL1344_2602","rseB"
"oppB",1.05372005369246,5.00768588122831,63.837500099943,9.17794859529866e-07,2.15227438098662e-05,"SL1344_1676","oppB"
"ybiF",-1.7157422715809,3.52734617497844,63.7606728607425,9.24582605419151e-07,2.15751123244853e-05,"SL1344_0807","ybiF"
"yjbH",1.0407683193628,5.10482495821154,63.682812540351,9.3151979776192e-07,2.1630437656854e-05,"SL1344_4161","yjbH"
"SL1344_1265",1.10361155544122,5.16474037771054,62.7419024201249,1.02019608916563e-06,2.34595576426096e-05,"SL1344_1265","SL1344_1265"
"lysP",-0.824891970622774,7.6339970747119,62.7457185364849,1.01981760567777e-06,2.34595576426096e-05,"SL1344_2177","lysP"
"leuO",2.83712814078796,2.60541596374928,62.29513039942,1.06562910014315e-06,2.4385918103276e-05,"SL1344_0115","leuO"
